Name,RA,Dec,Footprint,Pitch,Rotation,Frequency,Interleaved
FLASH_G9A_long,11:53:53.79,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G9B_long,18:06:18.6156,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G12A_long,8:53:47.58,-0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G12B_long,15:06:12.4056,-0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G15A_long,22:08:16.5444,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G15B_long,4:20:41.37,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_529P,3:55:51.7188,0:00:00,square_6x6,1.05,45.0,832.5,no
FLASH_550P,14:16:33.0888,0:00:00,square_6x6,1.05,45.0,832.5,no
FLASH_607P,8:04:08.2632,6:17:42.1296,square_6x6,1.05,45.0,832.5,no
FLASH_608P,14:16:33.0888,6:17:42.1296,square_6x6,1.05,45.0,832.5,no
FLASH_718P,10:54:32.7132,18:51:28.8684,square_6x6,1.05,45.0,832.5,no
FLASH_719P,17:27:16.3512,18:51:28.8684,square_6x6,1.05,45.0,832.5,no
FLASH_351P,20:49:48.6732,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_352P,3:37:21.4932,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_353P,10:24:54.3312,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_354P,17:12:27.1656,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_302P,0:00:00,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_303P,6:47:32.82,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_304P,13:35:05.6544,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_305P,20:22:38.4888,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_306P,3:10:11.3088,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_307P,9:57:44.1432,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_308P,16:45:16.9812,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_309P,23:32:49.8012,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_159P,5:32:18.4488,-50:05:45.2688,square_6x6,1.05,45.0,832.5,no
FLASH_160P,14:46:09.2244,-50:05:45.2688,square_6x6,1.05,45.0,832.5,no
FLASH_122P,0:00:00,-50:05:45.2688,square_6x6,1.05,45.0,832.5,no
FLASH_123P,9:13:50.7612,-50:05:45.2688,square_6x6,1.05,45.0,832.5,no
FLASH_120P,8:07:03.5256,-56:18:22.6584,square_6x6,1.05,45.0,832.5,no
FLASH_121P,18:42:21.1644,-56:18:22.6584,square_6x6,1.05,45.0,832.5,no
FLASH_88P,5:17:38.8212,-56:18:22.6584,square_6x6,1.05,45.0,832.5,no
FLASH_89P,15:52:56.46,-56:18:22.6584,square_6x6,1.05,45.0,832.5,no
FLASH_G9A,11:53:53.79,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G9B,18:06:18.6156,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G12A,8:53:47.58,-0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G12B,15:06:12.4056,-0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G15A,22:08:16.5444,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G15B,4:20:41.37,0:30:00,square_6x6,1.05,45.0,832.5,no
