Name,RA,Dec,Footprint,Pitch,Rotation,Frequency,Interleaved
POSSUM_pitch0.75_2038-58,20:38:19,-58:21:48,closepack36,0.75,45.0,1296.0,No
POSSUM_pitch0.75_2045-50,20:45:40,-50:41:06,closepack36,0.75,45.0,1296.0,No
POSSUM_pitch0.75_2057-54,20:57:06,-54:33:12,closepack36,0.75,45.0,1296.0,No
POSSUM_pitch0.75_2110-58,21:10:35,-58:25:07,closepack36,0.75,45.0,1296.0,No
POSSUM_pitch0.75_2113-50,21:13:01,-50:43:53,closepack36,0.75,45.0,1296.0,No
POSSUM_pitch0.75_2126-54,21:26:43,-54:36:05,closepack36,0.75,45.0,1296.0,No
POSSUM_pitch0.75_2140-50,21:40:23,-50:46:22,closepack36,0.75,45.0,1296.0,No
POSSUM_pitch0.75_2142-58,21:42:55,-58:28:03,closepack36,0.75,45.0,1296.0,No
POSSUM_pitch0.75_2156-54,21:56:23,-54:38:35,closepack36,0.75,45.0,1296.0,No
POSSUM_pitch0.75_2207-50,22:07:47,-50:48:33,closepack36,0.75,45.0,1296.0,No
