Name,RA,Dec,Footprint,Pitch,Rotation,Frequency,Interleaved
RACS_test4_1.05_0037+00A,0:37:14,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0151+00A,1:51:43,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0241+00A,2:41:23,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0355+00A,3:55:52,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0012+00A,0:12:25,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0102+00A,1:02:04,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0126+00A,1:26:54,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0216+00A,2:16:33,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0306+00A,3:06:12,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0331+00A,3:31:02,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2257+00A,22:57:56,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2004+00A,20:04:08,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2028+00A,20:28:58,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2053+00A,20:53:48,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2143+00A,21:43:27,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2208+00A,22:08:17,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2233+00A,22:33:06,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2322+00A,23:22:46,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2347+00A,23:47:35,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2118+00A,21:18:37,0:00:00,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0216-06A,2:16:33,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0306-06A,3:06:12,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0331-06A,3:31:02,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0355-06A,3:55:52,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0037-06A,0:37:14,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0102-06A,1:02:04,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0126-06A,1:26:54,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0151-06A,1:51:43,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0241-06A,2:41:23,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0012-06A,0:12:25,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2004-06A,20:04:08,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2028-06A,20:28:58,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2053-06A,20:53:48,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2118-06A,21:18:37,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2143-06A,21:43:27,-6:17:59,square_6x6,1.05,45.0,888.0,yes
