Name,RA,Dec,Footprint,Pitch,Rotation,Frequency,Interleaved
Hydra_1A,10:15:47.,-27:22:27.66,square_6x6,0.9,-45.004,1296,no
Hydra_1B,10:17:49.958,-27:49:24.30,square_6x6,0.9,-45.24,1296,no
Hydra_2A,10:39:24.238,-27:22:27.66,square_6x6,0.9,-45.004,1296,no
Hydra_2B,10:41:26.352,-27:49:24.30,square_6x6,0.9,-45.24,1296,no
NGC4636_1A,12:38:02.328,-00:26:59.95,square_6x6,0.9,-45.0,1296,no
NGC4636_1B,12:39:50.337,-00:53:59.85,square_6x6,0.9,-45.01,1296,no
NGC4636_2A,12:38:02.729,04:56:58.64,square_6x6,0.9,-44.999,1296,no
NGC4636_2B,12:39:51.059,04:29:58.13,square_6x6,0.9,-44.96,1296,no
Norma_1A,16:16:30.928,-59:27:41.88,square_6x6,0.9,-45.013,1296,no
Norma_1B,16:20:06.332,-59:54:30.90,square_6x6,0.9,-45.77,1296,no
Norma_2A,16:55:26.063,-59:27:41.88,square_6x6,0.9,-45.013,1296,no
Norma_2B,16:59:01.467,-59:54:30.90,square_6x6,0.9,-45.77,1296,no
