Name,RA,Dec,Footprint,Pitch,Rotation,Frequency,Interleaved
FLASH_G9A_long,8:47:35.586,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G9B_long,9:12:25.241,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G12A_long,11:47:35.172,-0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G12B_long,12:12:24.827,-0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G15A_long,14:16:33.103,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G15B_long,14:41:22.758,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_529P,1:51:43.4479,0:00:00,square_6x6,1.05,45.0,832.5,no
FLASH_550P,10:33:06.2059,0:00:00,square_6x6,1.05,45.0,832.5,no
FLASH_607P,10:08:16.5509,6:17:42.1296,square_6x6,1.05,45.0,832.5,no
FLASH_608P,10:33:06.2059,6:17:42.1296,square_6x6,1.05,45.0,832.5,no
FLASH_718P,8:43:38.1809,18:51:28.8684,square_6x6,1.05,45.0,832.5,no
FLASH_719P,9:09:49.0901,18:51:28.8684,square_6x6,1.05,45.0,832.5,no
FLASH_351P,22:11:19.2449,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_352P,22:38:29.4329,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_353P,23:05:39.6221,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_354P,23:32:49.811,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_302P,0:00:00,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_303P,0:27:10.188,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_304P,0:54:20.377,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_305P,1:21:30.5659,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_306P,1:48:40.7539,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_307P,2:15:50.9429,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_308P,2:43:01.1321,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_309P,3:10:11.3201,-25:07:47.2404,square_6x6,1.05,45.0,832.5,no
FLASH_159P,22:46:09.2299,-50:05:45.2688,square_6x6,1.05,45.0,832.5,no
FLASH_160P,23:23:04.615,-50:05:45.2688,square_6x6,1.05,45.0,832.5,no
FLASH_122P,0:00:00,-50:05:45.2688,square_6x6,1.05,45.0,832.5,no
FLASH_123P,0:36:55.3841,-50:05:45.2688,square_6x6,1.05,45.0,832.5,no
FLASH_120P,22:56:28.235,-56:18:22.6584,square_6x6,1.05,45.0,832.5,no
FLASH_121P,23:38:49.411,-56:18:22.6584,square_6x6,1.05,45.0,832.5,no
FLASH_88P,0:21:10.5881,-56:18:22.6584,square_6x6,1.05,45.0,832.5,no
FLASH_89P,1:03:31.764,-56:18:22.6584,square_6x6,1.05,45.0,832.5,no
FLASH_G9A,8:47:35.586,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G9B,9:12:25.241,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G12A,11:47:35.172,-0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G12B,12:12:24.827,-0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G15A,14:16:33.103,0:30:00,square_6x6,1.05,45.0,832.5,no
FLASH_G15B,14:41:22.758,0:30:00,square_6x6,1.05,45.0,832.5,no
