,Name,RA,Dec,Footprint,Pitch,Rotation,Frequency,Interleaved
0,RACS_test4_1.05_1954+37A,19:54:53.617,37:37:54.1704,square_6x6,1.05,45.0,888.0,yes
1,RACS_test4_1.05_1924-37A,19:24:15.319,-37:38:10.68,square_6x6,1.05,45.0,888.0,yes
2,RACS_test4_1.05_0000-74A,0:00:00,-74:16:44.4,square_6x6,1.05,45.0,888.0,yes
3,RACS_test4_1.05_2256-56A,22:56:28.235,-56:18:22.6584,square_6x6,1.05,45.0,888.0,yes
4,RACS_test4_1.05_1941-50A,19:41:32.3071,-50:05:45.2688,square_6x6,1.05,45.0,888.0,yes
5,RACS_test4_1.05_0608-43A,6:08:22.325,-43:52:21.3708,square_6x6,1.05,45.0,888.0,yes
6,RACS_test4_1.05_0534-43A,5:34:53.023,-43:52:21.3708,square_6x6,1.05,45.0,888.0,yes
7,RACS_test4_1.05_0354-71A,3:54:44.495,-71:36:16.4088,square_6x6,1.05,45.0,888.0,yes
8,RACS_test4_1.05_0430-68A,4:30:00,-68:40:17.3604,square_6x6,1.05,45.0,888.0,yes
9,RACS_test4_1.05_0230-68A,2:30:00,-68:40:17.3604,square_6x6,1.05,45.0,888.0,yes
10,RACS_test4_1.05_0330-68A,3:30:00,-68:40:17.3604,square_6x6,1.05,45.0,888.0,yes
11,RACS_test4_1.05_0341-50A,3:41:32.3069,-50:05:45.2688,square_6x6,1.05,45.0,888.0,yes
12,RACS_test4_1.05_0310-56A,3:10:35.2939,-56:18:22.6584,square_6x6,1.05,45.0,888.0,yes
13,RACS_test4_1.05_0304-50A,3:04:36.923,-50:05:45.2688,square_6x6,1.05,45.0,888.0,yes
14,RACS_test4_1.05_0228-62A,2:28:57.931,-62:29:55.0608,square_6x6,1.05,45.0,888.0,yes
15,RACS_test4_1.05_0139-62A,1:39:18.6199,-62:29:55.0608,square_6x6,1.05,45.0,888.0,yes
16,RACS_test4_1.05_0145-56A,1:45:52.9409,-56:18:22.6584,square_6x6,1.05,45.0,888.0,yes
17,RACS_test4_1.05_0130-68A,1:30:00,-68:40:17.3604,square_6x6,1.05,45.0,888.0,yes
18,RACS_test4_1.05_0103-56A,1:03:31.764,-56:18:22.6584,square_6x6,1.05,45.0,888.0,yes
19,RACS_test4_1.05_0049-62A,0:49:39.3101,-62:29:55.0608,square_6x6,1.05,45.0,888.0,yes
20,RACS_test4_1.05_0025-12A,0:25:15.7889,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
21,RACS_test4_1.05_2323-50A,23:23:04.615,-50:05:45.2688,square_6x6,1.05,45.0,888.0,yes
22,RACS_test4_1.05_0000-31A,0:00:00,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
23,RACS_test4_1.05_2334-12A,23:34:44.2099,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
24,RACS_test4_1.05_2309-12A,23:09:28.421,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
25,RACS_test4_1.05_2303-31A,23:03:31.764,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
26,RACS_test4_1.05_2007-56A,20:07:03.529,-56:18:22.6584,square_6x6,1.05,45.0,888.0,yes
27,RACS_test4_1.05_2049-56A,20:49:24.7049,-56:18:22.6584,square_6x6,1.05,45.0,888.0,yes
28,RACS_test4_1.05_2055-50A,20:55:23.076,-50:05:45.2688,square_6x6,1.05,45.0,888.0,yes
29,RACS_test4_1.05_1954-37A,19:54:53.617,-37:38:10.68,square_6x6,1.05,45.0,888.0,yes
